Year,Date,OPP,FanDuel,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,SF,E,AVG,OBP,SLG,OPS
2018,9-May,@NYY,18.4,5,5,2,3,1,0,0,0,0,2,0,0,0,0,0,0.333,0.36,0.571,0.931
2018,10-May,@NYY,3,4,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0.33,0.355,0.557,0.912
2018,11-May,@Tor,21.7,5,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0.326,0.357,0.576,0.933
2018,12-May,@Tor,9.2,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0.323,0.353,0.573,0.926
2018,13-May,@Tor,3.5,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31,0.34,0.55,0.89
2018,14-May,Oak,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.301,0.336,0.534,0.87
2018,15-May,Oak,6,4,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0.308,0.342,0.533,0.875
2018,16-May,Oak,25.7,4,4,1,1,0,0,1,3,0,1,0,0,0,0,0,0.306,0.339,0.55,0.889
2018,17-May,Bal,28.7,4,4,1,2,0,0,1,3,0,1,0,0,0,0,0,0.313,0.344,0.574,0.918
2018,18-May,Bal,6.2,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0.308,0.339,0.558,0.897
2018,19-May,Bal,3,4,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0.301,0.336,0.545,0.881
2018,20-May,Bal,,DNP,,,,,,,,,,,,,,,,,,
2018,22-May,@TB,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.294,0.333,0.532,0.865
2018,23-May,@TB,12.7,4,4,1,1,1,0,0,1,0,2,0,0,0,0,0,0.292,0.331,0.531,0.862
2018,24-May,@TB,3,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.286,0.329,0.519,0.848
2018,25-May,Atl,18.7,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0.285,0.327,0.533,0.86
2018,26-May,Atl,15.7,5,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0.286,0.336,0.529,0.865
2018,27-May,Atl,3,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.28,0.333,0.517,0.85
2018,28-May,Tor,6.2,5,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0.277,0.329,0.507,0.836
2018,29-May,Tor,27.9,5,4,2,2,0,0,1,1,1,1,0,0,0,0,0,0.283,0.337,0.526,0.863
2018,30-May,Tor,6.2,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0.282,0.335,0.519,0.854
2018,31-May,@Hou,13,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0.281,0.333,0.519,0.852
2018,1-Jun,@Hou,3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.28,0.331,0.512,0.843
2018,2-Jun,@Hou,15.2,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0.277,0.335,0.506,0.841
2018,3-Jun,@Hou,15.2,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0.281,0.337,0.515,0.852
2018,5-Jun,Det,21.7,4,3,1,1,0,0,1,1,1,2,0,0,0,0,0,0.282,0.34,0.529,0.869
2018,6-Jun,Det,19,4,4,0,3,1,0,0,2,0,1,0,0,0,0,0,0.292,0.349,0.539,0.888
2018,7-Jun,Det,3.5,5,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0.284,0.34,0.525,0.865
2018,8-Jun,CWS,3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.283,0.338,0.519,0.857
2018,9-Jun,CWS,6.2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.283,0.337,0.513,0.85
